mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
40333-14,WXT520,M1020585,2022-08-18T00:00:00Z,С-БТЦ/19-08-2021/88123009,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88123009,2021-08-19T00:00:00Z,1774962192179789826,
65362-16,WXT536,N1020242,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740167,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740167,2021-08-18T00:00:00Z,1774949911033282570,
65362-16,WXT536,M4330640,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740168,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740168,2021-08-18T00:00:00Z,1774949911038525444,
65362-16,WXT536,M4330641,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740169,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740169,2021-08-18T00:00:00Z,1774949911040622601,
40333-09,WXT520,J0610013,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740171,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740171,2021-08-18T00:00:00Z,1774949911058448389,
40333-09,WXT520,J0610011,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740172,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740172,2021-08-18T00:00:00Z,1774949911092002826,
40333-09,WXT520,J0610010,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740173,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740173,2021-08-18T00:00:00Z,1774949911093051397,
40333-09,WXT520,J0610009,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740174,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740174,2021-08-18T00:00:00Z,1774949911094099972,
40333-09,WXT520,J0610007,2022-08-17T00:00:00Z,С-БТЦ/18-08-2021/87740175,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87740175,2021-08-18T00:00:00Z,1774949911095148549,
65362-16,нет модификации,T3010875,2022-08-15T00:00:00Z,С-ГЧХ/16-08-2021/87517929,Пригодно,WXT530,Метеостанции автоматические,2021,"ООО ""ПРОММАШ ТЕСТ""",True,1-87517929,2021-08-16T00:00:00Z,1774949656774574089,
65362-16,WXT532,T1210540,2022-08-12T00:00:00Z,С-БТЦ/13-08-2021/86977311,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-86977311,2021-08-13T00:00:00Z,1774948971599364111,
40333-14,WXT520,K4530020,2022-08-12T00:00:00Z,С-БТЦ/13-08-2021/86977328,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-86977328,2021-08-13T00:00:00Z,1774962017946304518,
35668-07,WXT510,B4340037,2022-08-12T00:00:00Z,С-БТЦ/13-08-2021/86977358,Пригодно,WXT510,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-86977358,2021-08-13T00:00:00Z,1774964140227428367,
35668-07,WXT510,B4340032,,И-БТЦ/13-08-2021/86977359,Непригодно,WXT510,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",False,1-86977359,2021-08-13T00:00:00Z,1774964140227428369,
35668-07,WXT510,B4340004,,И-БТЦ/13-08-2021/86977360,Непригодно,WXT510,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",False,1-86977360,2021-08-13T00:00:00Z,1774964140228476929,
65362-16,WXT536,R4030518,2022-08-12T00:00:00Z,С-В/13-08-2021/87281058,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-87281058,2021-08-13T00:00:00Z,1774949356602916864,Нет данных
